Question Response Type,Question Required?,Mentor Question,Mentor Response Options,Mentee Question,Mentee Response Options,Response Matching Criteria (any order),Weight,Similarity Percentile Cutoffs
multiple choice,Yes,Are you able to commit to monthly 30-minute meetings with a mentee? (virtual or in-person),{1. Yes; 2. No; 3. Maybe},Are you able to commit to monthly 30 minute meetings with a mentor? (virtual or in-person),{1. Yes; 2. No; 3. Maybe},"{10: Yes & Yes, No & No; 5: Maybe & Yes, Maybe & No, Maybe & Maybe: 0: Yes & No}",3,NA
check box,Yes,Please select your preferred methods of communication for mentorship with a student in San Diego.,{1. In Person; 2. Virtual Meeting; 3. Email; 4. Texts; 5. Phone Conversations; 6. Instant Messaging; 7. Other {natural language input}},Please select your preferred methods of communication with a mentor.,{1. In Person; 2. Virtual Meeting; 3. Email; 4. Texts; 5. Phone Conversations; 6. Instant Messaging; 7. Other {natural language input}},{10: 3+ responses overlap; 5: At least 1 response overlaps; 0: No responses overlap},3,NA
check box,Yes,Which career development topics would you most like to discuss with a mentee?,{1. Resume Review; 2. Interview Preparation; 3. Graduate School Decisions; 4. Transition to Industry; 5. Leadership Skills; 6. How to Network; 7. Other {natural language input}},Which career development topics would you most like to discuss with a mentor?,{1. Resume Review; 2. Interview Preparation; 3. Graduate School Decisions; 4. Transition to Industry; 5. Leadership Skills; 6. How to Network; 7. Other {natural language input}},{10: 3+ responses overlap; 5: At least 1 response overlaps; 0: No responses overlap},3,NA
multiple choice,Yes,Are you interested in providing a job shadowing experience for your mentee?,{1. Yes; 2. No; 3. Maybe},Are you interested in a job shadowing experience with your mentor?,{1. Yes; 2. No; 3. Maybe},"{10: Yes & Yes, No & No; 5: Maybe & Yes, Maybe & No, Maybe & Maybe; 0: Yes & No}",3,NA
multiple choice,Yes,Are you interested in working together on a project with your mentee?,{1. Yes; 2. No; 3. Maybe},Are you interested in working on a project with your mentor?,{1. Yes; 2. No; 3. Maybe},"{10: Yes & Yes, No & No; 5: Maybe & Yes, Maybe & No, Maybe & Maybe; 0: Yes & No}",3,NA
short answer,Yes,"In a word or two, please describe your industry",{natural language input},Please indicate any industries or domains you're interested in learning more about.,{natural language input},Semantic similarity between responses,2,85/50
short answer,Yes,"City, State, and Country where you currently reside. 
(If outside of Pacific Time Zone please include the number of hours of time difference.)",{natural language input},"City, State, and Country where you reside when not in school. ",{natural language input},Semantic similarity between responses,2,85/50
long answer,Yes for mentor No for mentee,"In a few sentences, please describe why you want to mentor a student.",{natural language input},"In a few sentences, please describe why you'd like to be matched with a mentor. ",{natural language input},Semantic similarity between responses,2,85/50
multiple choice,Yes,"When you give feedback, do you prefer:","{1. To be direct and concise; 2. To be more conversational with examples; 3. Both, depending on the situation; 4. Other {natural language input}}","When you receive feedback, do you prefer:","{1. For it to be direct and concise; 2. For it to be more conversationsal with examples; 3. Both, depending on the situation; 4. Other {natural language input}}","{10: For it to be direct and concise & To be direct and concise, For it to be more conversationsal with examples & To be more conversational with examples, Both, depending on the situation & Both, depending on the situation; 5: For it to be direct and concise | To be direct and concise & Both, depending on the situation, Both, depending on the situation & For it to be more conversationsal with examples | To be more conversational with examples; 0: For it to be direct and concise | To be direct and concise & For it to be more conversationsal with examples | To be more conversational with examples}",2,NA
multiple choice,Yes,Which of the following best describes you?,{1. Energized by collaboration; 2. Prefer focused solo work; 3. A blend of both},Which of the following best describes you?,{1. Energized by collaboration; 2. Prefer focused solo work; 3. A blend of both},"{10: Energized by collaboration & Energized by collaboration, Prefer focused solo work & Prefer focused solo work, A blend of both & A blend of both; 5: Energized by collaboration & A blend of both, A blend of both & Prefer focused solo work; 0: Energized by collaboration & Prefer focused solo work}",2,NA
multiple choice,Yes,Which mentoring style do you prefer?,{1. Setting structured goals; 2. Letting the conversation flow organically; 3. A blend of both},Which mentoring style would you prefer?,{1. Setting structured goals; 2. Letting the conversation flow organically; 3. A blend of both},"{10: Setting structured goals & Setting structured goals, Letting the conversation flow organically & Letting the conversation flow organically, A blend of both & A blend of both; 5: Setting structured goals & A blend of both, A blend of both & Letting the conversation flow organically; 0: Setting structured goals & Letting the conversation flow organically}",2,NA
long answer,No,"Are there any topics, industries, or student backgrounds you would prefer to avoid?",{natural language input},"Are there any topics, industries, or mentor backgrounds you would prefer to avoid?",{natural language input},Semantic similarity between responses,2,85/50
short answer,Yes,"Which data‑science sub‑domains are you most comfortable with? Select up to 3. (e.g., Machine Learning, NLP, ML Ops, Data Engineering, Visualization, Statistics, Causal Inference, etc.)",{natural language input},"Which data‑science sub‑domains are you most interested in? Select up to 3. (e.g., Machine Learning, NLP, ML Ops, Data Engineering, Visualization, Statistics, Causal Inference, etc.)",{natural language input},Semantic similarity between responses,1,85/50
short answer,Yes,"List any tools or platforms you use regularly (Python, R, TensorFlow, PySpark, Tableau, AWS, etc.).  ",{natural language input},"List any tools or platforms you use regularly or would like to learn more about (Python, R, TensorFlow, PySpark, Tableau, AWS, etc.).  ",{natural language input},Semantic similarity between responses,1,85/50
long answer,Yes,How would you describe your communication style?,{natural language input},How would you describe your communication style?,{natural language input},Semantic similarity between responses,1,85/50
long answer,Yes,"List three activities you love doing outside of work (e.g., hiking, playing guitar, cooking, video games, etc.)",{natural language input},"List at least three activities you love doing outside of school or work (e.g., hiking, playing guitar, cooking, video games, etc.)",{natural language input},Semantic similarity between responses,1,85/50
long answer,No,Do you have any language preferences or accessibility needs we should know about?,{natural language input},Do you have any language preferences or accessibility needs we should know about?,{natural language input},Semantic similarity between responses,1,85/50
long answer,No,Is there anything else you'd like for us to consider in matching you with a mentee?,{natural language input},Is there anything else you'd like for us to consider in matching you with a mentor?,{natural language input},Semantic similarity between responses,1,85/50
short answer,Yes,First & Last Name,{natural language input},First & Last Name,{natural language input},Semantic similarity between responses,0,85/50
short answer,Yes,Email Address,{natural language input},UCSD Email Address,{natural language input},Semantic similarity between responses,0,85/50
multiple choice,Yes,Graduation Year,{1. 2026; 2. 2025; 3. 2024; 4. 2023; 5. 2022; 6. 2021; 7. 2020},Planned Graduation Year,{1. 2027; 2. 2028; 3. 2029; 4. 2030},NA,0,NA
multiple choice,Yes,Data Science Program ,{1. BS Data Science Major; 2. BS Data Science Minor; 3. MS in Data Science; 4. MDS (Online); 5. MAS; 6. PhD},NA,NA,NA,0,NA
short answer,Yes,"Job Title & Employer (If attending graduate school, please put school and program here.)",{natural language input},NA,NA,NA,0,NA
multiple choice,Yes,How many mentees would you like to be matched with?,"{1. One; 2. Two (Each would be treated as an individual mentee, not meeting in a group.)}",NA,NA,NA,0,NA
